City,Country,Latitude,Longitude,Date,Max Temperature,Humidity,Wind Speed,Cloudiness
Villamontes,BO,-21.26,-63.47,1563773636,68.41,52,3.49,0
Avarua,CK,-21.21,-159.78,1563773636,77.0,88,9.17,61
Aix-les-Bains,FR,45.69,5.91,1563773608,71.01,93,1.12,40
Atuona,PF,-9.8,-139.03,1563773637,79.93,77,13.62,52
Nieves,MX,24.0,-103.02,1563773637,65.17,49,3.76,81
Vaini,TO,-21.2,-175.2,1563773638,71.6,73,17.22,20
Provideniya,RU,64.42,-173.23,1563773638,51.8,87,15.66,90
Rikitea,PF,-23.12,-134.97,1563773638,68.23,74,21.99,35
Katsuura,JP,33.93,134.5,1563773639,80.6,94,13.87,75
Husavik,IS,66.04,-17.34,1563773639,53.6,71,13.87,90
Kropotkin,RU,45.43,40.58,1563773639,70.93,68,6.06,84
Amberley,NZ,-43.15,172.73,1563773640,51.01,93,8.05,11
Lagoa,PT,37.14,-8.45,1563773640,75.2,57,5.82,0
Ponta do Sol,CV,17.2,-25.09,1563773640,75.2,83,4.7,40
Bethel,US,60.79,-161.76,1563773480,60.8,82,2.66,90
Kaeo,NZ,-35.1,173.78,1563773641,57.0,100,5.68,9
Afua,BR,-0.16,-50.39,1563773641,76.33,88,7.67,71
Axim,GH,4.87,-2.24,1563773641,75.61,91,10.83,74
Manga,BR,-14.75,-43.94,1563773642,58.69,84,2.68,38
Butaritari,KI,3.07,172.79,1563773642,84.97,69,8.46,20
Faanui,PF,-16.48,-151.75,1563773643,78.67,81,19.89,16
Nouadhibou,MR,20.93,-17.03,1563773643,68.0,82,18.34,8
Tiksi,RU,71.64,128.87,1563773643,41.41,66,11.56,37
Ust-Maya,RU,60.42,134.54,1563773644,75.43,32,8.12,0
Mar del Plata,AR,-46.43,-67.52,1563773644,33.49,67,14.94,0
Ancud,CL,-41.87,-73.83,1563773644,32.0,70,5.12,0
Ushuaia,AR,-54.81,-68.31,1563773645,33.8,74,9.17,75
Inhambane,MZ,-23.87,35.38,1563773645,61.21,59,2.84,71
Santa Maria,CV,16.6,-22.9,1563773646,75.2,83,5.82,40
Solnechnyy,RU,50.72,136.64,1563773646,73.27,70,3.94,98
Hithadhoo,MV,-0.6,73.08,1563773647,82.99,78,14.0,6
Chokurdakh,RU,70.62,147.9,1563773647,38.53,83,15.52,100
Cap Malheureux,MU,-19.98,57.61,1563773647,75.2,78,8.05,20
Balakhta,RU,55.38,91.62,1563773648,65.35,64,7.78,78
Punta Arenas,CL,-53.16,-70.91,1563773648,35.6,83,12.75,75
Ciudad Bolivar,VE,8.12,-63.55,1563773648,76.87,84,7.81,67
Barrow,US,39.51,-90.4,1563773649,78.01,94,6.93,40
Ribeira Grande,PT,38.52,-28.7,1563773649,73.27,91,26.78,67
Sitka,US,37.17,-99.65,1563773649,71.01,79,5.01,6
Mogapi,BW,-22.32,27.84,1563773650,39.2,93,5.99,0
Puerto Madero,MX,14.72,-92.42,1563773650,80.6,100,3.8,40
Bolshaya Rechka,RU,51.95,104.74,1563773651,66.2,93,4.47,75
Carnarvon,AU,-24.87,113.63,1563773651,73.4,38,14.99,0
Bolitoc,PH,15.74,119.88,1563773651,81.91,78,9.42,100
Bluff,NZ,-46.6,168.33,1563773652,50.0,93,3.0,96
Najran,SA,17.54,44.22,1563773652,87.8,15,4.7,0
